provider,competition,season,matches
statsbomb,1. Bundesliga,2015/2016,34
statsbomb,1. Bundesliga,2023/2024,34
statsbomb,African Cup of Nations,2023,52
statsbomb,Champions League,1970/1971,1
statsbomb,Champions League,1971/1972,1
statsbomb,Champions League,1972/1973,1
statsbomb,Champions League,1999/2000,1
statsbomb,Champions League,2003/2004,1
statsbomb,Champions League,2004/2005,1
statsbomb,Champions League,2006/2007,1
statsbomb,Champions League,2008/2009,1
statsbomb,Champions League,2009/2010,1
statsbomb,Champions League,2010/2011,1
statsbomb,Champions League,2011/2012,1
statsbomb,Champions League,2012/2013,1
statsbomb,Champions League,2013/2014,1
statsbomb,Champions League,2014/2015,1
statsbomb,Champions League,2015/2016,1
statsbomb,Champions League,2016/2017,1
statsbomb,Champions League,2017/2018,1
statsbomb,Champions League,2018/2019,1
statsbomb,Copa America,2024,32
statsbomb,Copa del Rey,1977/1978,1
statsbomb,Copa del Rey,1982/1983,1
statsbomb,Copa del Rey,1983/1984,1
statsbomb,FA Women's Super League,2018/2019,107
statsbomb,FA Women's Super League,2019/2020,87
statsbomb,FA Women's Super League,2020/2021,131
statsbomb,FA Women's Super League,2023/2024,132
statsbomb,FIFA U20 World Cup,1979,1
statsbomb,FIFA World Cup,1958,2
statsbomb,FIFA World Cup,1962,1
statsbomb,FIFA World Cup,1970,6
statsbomb,FIFA World Cup,1974,6
statsbomb,FIFA World Cup,1986,3
statsbomb,FIFA World Cup,1990,1
statsbomb,FIFA World Cup,2018,64
statsbomb,FIFA World Cup,2022,64
statsbomb,Frauen Bundesliga,2023/2024,132
statsbomb,Indian Super league,2021/2022,115
statsbomb,La Liga,1973/1974,1
statsbomb,La Liga,2004/2005,7
statsbomb,La Liga,2005/2006,17
statsbomb,La Liga,2006/2007,26
statsbomb,La Liga,2007/2008,27
statsbomb,La Liga,2008/2009,31
statsbomb,La Liga,2009/2010,35
statsbomb,La Liga,2010/2011,33
statsbomb,La Liga,2011/2012,37
statsbomb,La Liga,2012/2013,32
statsbomb,La Liga,2013/2014,31
statsbomb,La Liga,2014/2015,38
statsbomb,La Liga,2015/2016,380
statsbomb,La Liga,2016/2017,34
statsbomb,La Liga,2017/2018,36
statsbomb,La Liga,2018/2019,34
statsbomb,La Liga,2019/2020,33
statsbomb,La Liga,2020/2021,35
statsbomb,Liga F,2023/2024,240
statsbomb,Liga Profesional,1981,1
statsbomb,Liga Profesional,1997/1998,1
statsbomb,Ligue 1,2015/2016,377
statsbomb,Ligue 1,2021/2022,26
statsbomb,Ligue 1,2022/2023,32
statsbomb,Major League Soccer,2023,6
statsbomb,NWSL,2018,36
statsbomb,NWSL,2023,137
statsbomb,North American League,1977,1
statsbomb,Premier League,2003/2004,38
statsbomb,Premier League,2015/2016,380
statsbomb,Serie A,1986/1987,1
statsbomb,Serie A,2015/2016,380
statsbomb,Serie A Women,2023/2024,130
statsbomb,UEFA Euro,2020,51
statsbomb,UEFA Euro,2024,51
statsbomb,UEFA Europa League,1988/1989,3
statsbomb,UEFA Women's Euro,2022,31
statsbomb,UEFA Women's Euro,2025,31
statsbomb,Women's World Cup,2019,52
statsbomb,Women's World Cup,2023,64
wyscout,Bundesliga,2017/2018,306
wyscout,FIFA World Cup,2018,64
wyscout,La Liga,2017/2018,380
wyscout,Ligue 1,2017/2018,380
wyscout,Premier League,2017/2018,380
wyscout,Serie A,2017/2018,380
wyscout,UEFA Euro,2016,51
